exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,E 00,E 01,E 02,00/01,Relative Anion Signal,Bleaching %,polaron ratio,Carrier Concentration,Mobility,Sheet Resistance,conductivity,thickness
6704d7ba84cfffa9c78b7331,Spring24_SolvTemp_JPM_111,70,0,30,180,2.06994,2.26141,2.45103,0.80056,1.33639,0.66794,0.8234,1.82E+020,1.01738,6115.333333,29.56,5.532666E-06
6704d90537c5561e157b7e94,Spring24_SolvTemp_JPM_112,80,0,20,60,2.07831,2.2596,2.41452,0.76723,1.20943,0.62807,0.76017,1.75E+020,0.20963,41850,5.88,4.065666E-06
6704da258afb9cb017f04ed0,Spring24_SolvTemp_JPM_113,70,0,30,120,2.0733,2.2566,2.44186,0.78719,1.30366,0.71164,0.83728,2.16E+020,1.01506,6001,35.01,4.7595E-06
6704db4b32f8d612432cffb2,Spring24_SolvTemp_JPM_114,50,0,50,120,2.07084,2.26248,2.43495,0.7873,1.26553,0.70801,0.77304,2.05E+020,0.94078,7031.666667,30.93,4.5976666E-06
6704dc778afb9cb017fdd9e4,Spring24_SolvTemp_JPM_115,40,30,30,210,2.08423,2.26664,2.4537,0.76096,1.13716,0.46035,0.7327,1.04E+020,0.53252,23893.33333,8.84,4.733E-06
6704ddc037c5561e1596e8e0,Spring24_SolvTemp_JPM_116,0,20,80,270,2.08487,2.26741,2.4372,0.68065,1.19873,0.55311,0.75671,1.41E+020,0.34845,33486.66667,7.87,3.7965E-06
6704dec8d95e1861d6f32e64,Spring24_SolvTemp_JPM_117,80,20,0,60,2.07831,2.24784,2.41447,0.75489,1.11912,0.59004,0.70465,1.12E+020,0.238,58313.33333,4.25,4.032333E-06
6704e4173670825d4b811acb,Spring24_SolvTemp_JPM_118,20,10,70,120,2.07081,2.25952,2.44875,0.79439,1.33694,0.65935,0.84777,1.83E+020,0.85236,7788.666667,24.97,5.141E-06
6704e5ed3670825d4b8c51ab,Spring24_SolvTemp_JPM_119,40,20,40,240,2.0725,2.25857,2.44417,0.76921,1.06869,0.52188,0.7028,1.35E+020,0.53871,19107.33333,11.64,4.498E-06
6704e7885f13e5b38903ae65,Spring24_SolvTemp_JPM_120,40,10,50,30,2.08582,2.26554,2.44895,0.76099,1.14204,0.58183,0.72761,1.49E+020,0.16993,52706.66667,4.05,4.687E-06
6704e96b84cfffa9c7f67c45,Spring24_SolvTemp_JPM_121,10,50,40,270,2.08484,2.26145,2.44412,0.67688,1.26358,0.51724,0.74351,9.26E+019,0.37996,39863.33333,5.63,4.4585E-06
6704ebae32f8d612438e0c63,Spring24_SolvTemp_JPM_122,0,50,50,30,2.09082,2.26853,2.45944,0.74233,1.13754,0.45362,0.68377,1.13E+020,0.0594,247233.3333,1.07,3.773333E-06
6704ecd28afb9cb0175bd23b,Spring24_SolvTemp_JPM_123,10,60,30,150,2.0725,2.25861,2.44422,0.75096,1.11399,0.41541,0.69137,1.29E+020,0.34131,23170,7.03,6.1355E-06
6704ede937c5561e15f8b132,Spring24_SolvTemp_JPM_124,70,30,0,270,2.08235,2.26737,2.43371,0.67093,1.02612,0.50698,0.70693,1.6E+020,0.14031,38850,3.6,7.1575E-06
6704eef084cfffa9c71b570e,Spring24_SolvTemp_JPM_125,0,20,80,60,2.0758,2.25368,2.41447,0.76043,1.27675,0.60994,0.77068,1.82E+020,0.11429,47156.66667,3.33,6.374333E-06
6704f0428afb9cb01778fa8d,Spring24_SolvTemp_JPM_126,40,50,10,150,2.07752,2.26459,2.45829,0.78254,1.50097,0.53248,0.89238,1.68E+020,0.42147,22500,11.31,3.9313333E-06
6704f16d8afb9cb0177dc8ff,Spring24_SolvTemp_JPM_127,80,10,10,30,2.09082,2.27448,2.44542,0.75706,1.11871,0.48893,0.69418,1.75E+020,0.17586,53120,4.93,3.821333E-06
6704f2d7d95e1861d6594310,Spring24_SolvTemp_JPM_128,0,10,90,90,2.07583,2.2596,2.41452,0.77883,1.17089,0.58591,0.70693,1.94E+020,0.22918,22573.33333,7.13,6.2105E-06
